Sensor4_mean,Sensor4_std,Sensor4_min,Sensor4_max,Sensor5_mean,Sensor5_std,Sensor5_min,Sensor5_max,Sensor8_mean,Sensor8_std,Sensor8_min,Sensor8_max,Sensor9_mean,Sensor9_std,Sensor9_min,Sensor9_max,Label
73.1,0.7378647873726218,72.0,74.0,51.6,3.134042472944842,48.0,56.0,463.9,2.4244128727957577,460.0,468.0,15.4,0.5163977794943222,15.0,16.0,stick
73.3,0.6749485577105528,72.0,74.0,54.7,2.002775851439974,50.0,57.0,464.5,3.0276503540974917,457.0,468.0,15.5,0.5270462766947299,15.0,16.0,stick
73.1,0.7378647873726218,72.0,74.0,55.9,0.9944289260117533,54.0,57.0,473.3,18.78563280807969,457.0,524.0,15.2,0.42163702135578396,15.0,16.0,stick
73.0,0.6666666666666666,72.0,74.0,56.9,0.7378647873726218,56.0,58.0,501.8,24.97465381808792,469.0,524.0,15.4,0.5163977794943222,15.0,16.0,stick
72.3,3.0203016773531455,64.0,75.0,55.7,4.321779468896786,44.0,59.0,535.0,28.585155432691128,518.0,613.0,15.9,1.1972189997378646,15.0,19.0,stick
67.9,4.72463990397387,63.0,75.0,48.0,7.630348761506398,39.0,59.0,607.2,77.18347549112367,526.0,725.0,17.6,2.0655911179772892,15.0,20.0,stick
64.2,1.1352924243950933,63.0,66.0,51.6,10.637460014287036,39.0,64.0,697.3,70.95702925010319,562.0,823.0,19.7,1.0593499054713802,19.0,22.0,stick
63.3,1.1595018087284057,62.0,66.0,62.4,3.339993346633426,54.0,66.0,763.8,59.07960731081411,626.0,823.0,20.7,1.1595018087284057,19.0,22.0,stick
63.2,1.1352924243950933,62.0,65.0,64.5,1.7159383568311668,61.0,66.0,777.4,39.76933492026237,700.0,808.0,21.1,0.737864787372622,20.0,22.0,stick
63.5,1.0801234497346435,62.0,65.0,66.6,1.5055453054181618,64.0,69.0,727.2,48.085109730328966,668.0,806.0,21.5,0.7071067811865476,20.0,22.0,stick
62.8,0.7888106377466154,62.0,64.0,66.6,1.429840705968481,65.0,69.0,697.7,16.028100324118267,668.0,721.0,22.4,0.5163977794943222,22.0,23.0,stick
62.1,0.7378647873726218,61.0,63.0,65.1,0.7378647873726218,64.0,66.0,705.9,14.955118038837258,690.0,733.0,22.0,1.0540925533894598,20.0,23.0,stick
61.5,0.8498365855987975,60.0,63.0,65.9,2.078995483935023,64.0,70.0,720.9,14.571280733766068,693.0,736.0,21.3,0.6749485577105528,20.0,22.0,stick
61.1,0.7378647873726218,60.0,62.0,64.0,6.599663291074443,52.0,70.0,715.1,22.253339324944267,674.0,736.0,21.0,0.6666666666666666,20.0,22.0,stick
61.6,0.9660917830792959,60.0,63.0,56.5,7.3824115301167,50.0,69.0,683.5,27.61742606077225,650.0,735.0,20.5,0.5270462766947299,20.0,21.0,stick
64.1,2.330951164939612,61.0,68.0,51.2,1.813529401164726,48.0,54.0,631.8,56.05116710054603,523.0,698.0,19.8,1.1352924243950933,17.0,21.0,stick
65.2,1.3984117975602022,64.0,68.0,50.1,1.5238839267549948,48.0,52.0,641.7,63.30358950679214,523.0,702.0,18.6,1.0749676997731399,17.0,20.0,stick
63.3,1.4181364924121764,61.0,65.0,49.7,1.3374935098492586,48.0,52.0,616.8,72.8313119475408,532.0,702.0,17.7,0.4830458915396479,17.0,18.0,stick
62.2,0.9189365834726814,61.0,63.0,49.1,1.3703203194062978,47.0,52.0,542.9,17.98425237070847,525.0,574.0,17.9,0.7378647873726218,17.0,19.0,stick
62.3,0.6749485577105528,61.0,63.0,48.7,1.0593499054713802,47.0,50.0,583.6,58.32704728035223,525.0,682.0,19.0,0.9428090415820634,18.0,21.0,stick
61.8,0.9189365834726814,60.0,63.0,49.2,1.0327955589886444,47.0,51.0,632.3,29.694930356693696,568.0,682.0,19.0,0.9428090415820634,18.0,21.0,stick
61.2,0.7888106377466154,60.0,62.0,49.2,0.9189365834726814,48.0,51.0,625.8,18.231840280125315,594.0,648.0,18.2,0.421637021355784,18.0,19.0,stick
61.2,1.0327955589886444,60.0,63.0,48.0,1.247219128924647,46.0,50.0,628.6,20.051045968837748,594.0,655.0,18.3,0.4830458915396479,18.0,19.0,stick
61.1,0.9944289260117533,60.0,63.0,47.2,0.9189365834726814,46.0,49.0,632.7,19.049934383089095,605.0,657.0,19.0,0.9428090415820634,18.0,21.0,stick
61.0,0.6666666666666666,60.0,62.0,47.2,0.7888106377466154,46.0,48.0,626.0,15.260697523012796,605.0,657.0,19.6,0.9660917830792959,18.0,21.0,stick
60.8,0.7888106377466154,60.0,62.0,46.9,2.5582111805799856,40.0,49.0,619.7,10.49920631920972,603.0,636.0,19.9,0.8755950357709131,19.0,21.0,stick
60.4,0.6992058987801011,60.0,62.0,43.5,4.143267631552018,40.0,49.0,605.8,9.150591966279194,596.0,620.0,19.7,0.8232726023485648,19.0,21.0,stick
60.3,0.4830458915396479,60.0,61.0,41.8,1.6193277068654823,40.0,44.0,603.5,6.023103666530884,596.0,612.0,18.7,0.8232726023485647,18.0,20.0,stick
60.2,0.4216370213557839,60.0,61.0,43.5,0.7071067811865476,43.0,45.0,608.1,4.094712037087183,600.0,614.0,18.4,0.6992058987801011,18.0,20.0,stick
59.9,0.8755950357709131,58.0,61.0,43.7,0.9486832980505138,42.0,45.0,603.7,7.318925239860472,594.0,614.0,18.8,0.6324555320336758,18.0,20.0,stick
65.0,6.749485577105529,58.0,74.0,52.6,11.616080807799735,42.0,69.0,520.4,100.07463881190544,380.0,612.0,24.6,8.085652588244054,17.0,38.0,stick
71.4,4.1150131632029225,60.0,74.0,58.8,7.345444544447637,45.0,69.0,409.4,84.97869013922124,310.0,580.0,31.5,6.381396573025549,17.0,39.0,stick
72.3,0.9486832980505137,71.0,74.0,55.1,1.4491376746189437,53.0,58.0,385.5,81.87965423582209,310.0,543.0,30.7,4.029061098237818,26.0,39.0,stick
72.1,0.7378647873726218,71.0,73.0,53.6,1.07496769977314,52.0,55.0,446.2,87.26944227824282,311.0,563.0,31.0,2.9059326290271157,27.0,36.0,stick
71.1,1.3703203194062976,69.0,73.0,54.5,1.90029237516523,52.0,58.0,509.0,37.656340767525464,455.0,563.0,36.6,4.115013163202924,30.0,42.0,stick
69.3,0.9486832980505137,68.0,71.0,55.3,1.1595018087284057,54.0,58.0,496.1,50.278004910475296,415.0,559.0,37.5,3.1710495984067415,34.0,42.0,stick
68.9,0.9944289260117533,67.0,70.0,56.2,2.250925735484551,54.0,60.0,446.2,49.51273685740984,405.0,538.0,36.5,2.0138409955990952,34.0,39.0,stick
68.6,1.429840705968481,66.0,70.0,57.6,1.5776212754932313,55.0,60.0,429.1,14.78324877841283,405.0,452.0,37.8,0.6324555320336758,37.0,39.0,stick
67.2,1.3165611772087666,66.0,70.0,55.3,2.7100635498903793,51.0,58.0,431.8,11.419281938896157,419.0,452.0,37.9,0.9944289260117531,37.0,40.0,stick
66.7,0.6749485577105528,66.0,68.0,52.5,1.7159383568311668,51.0,56.0,426.0,14.275075403575904,409.0,458.0,36.1,2.6012817353502227,32.0,40.0,stick
66.7,0.8232726023485645,66.0,68.0,50.8,1.6193277068654823,47.0,53.0,457.1,37.790210372529025,409.0,515.0,34.5,1.5811388300841898,32.0,37.0,stick
66.7,0.9486832980505138,66.0,68.0,49.7,1.2516655570345725,47.0,51.0,490.6,24.28625582962969,458.0,530.0,34.0,1.8257418583505538,31.0,37.0,stick
66.8,0.7888106377466154,66.0,68.0,50.1,0.9944289260117533,49.0,52.0,485.2,21.877436372258572,457.0,530.0,30.8,2.8982753492378874,25.0,35.0,stick
66.9,0.7378647873726218,66.0,68.0,51.1,0.994428926011753,50.0,53.0,483.7,20.380001090393606,457.0,536.0,29.0,1.4907119849998598,25.0,30.0,stick
67.0,0.6666666666666666,66.0,68.0,51.5,0.97182531580755,50.0,53.0,455.2,44.60642704065563,397.0,536.0,29.7,0.6749485577105528,29.0,31.0,stick
66.9,0.316227766016838,66.0,67.0,55.1,4.254409477236529,50.0,61.0,416.6,16.774318995946686,397.0,455.0,31.5,2.3213980461973533,29.0,36.0,stick
67.1,0.31622776601683794,67.0,68.0,58.7,1.6363916944844774,55.0,61.0,394.4,34.99587277253006,323.0,421.0,33.6,2.1705094128132942,30.0,36.0,stick
67.9,1.1005049346146119,67.0,70.0,60.3,2.110818693198342,58.0,63.0,356.2,34.34724637191945,321.0,416.0,30.8,3.910100879630715,26.0,36.0,stick
67.9,1.1972189997378646,66.0,70.0,65.1,3.6040101122068022,60.0,71.0,340.4,7.12117343638751,321.0,346.0,26.8,1.1352924243950933,26.0,29.0,stick
67.9,0.9944289260117533,66.0,69.0,74.0,6.847546194724712,66.0,86.0,386.7,55.531872729891695,341.0,475.0,30.0,5.055250296034367,26.0,40.0,stick
69.3,0.9486832980505138,68.0,71.0,84.9,9.21894185299424,75.0,107.0,440.6,38.06777581571526,359.0,485.0,33.2,3.9384147967311813,28.0,40.0,stick
71.1,1.6633299933166197,69.0,75.0,108.9,22.20835678547855,81.0,146.0,420.4,41.63919094101399,366.0,485.0,32.9,2.5582111805799856,28.0,38.0,stick
71.7,1.2516655570345725,71.0,75.0,125.5,10.783217413081207,110.0,146.0,398.4,20.549128124245726,366.0,435.0,32.5,1.35400640077266,30.0,34.0,stick
71.9,1.4491376746189437,71.0,75.0,89.6,36.79130332021414,50.0,135.0,493.0,125.38739968593336,349.0,660.0,31.8,1.4757295747452437,29.0,34.0,stick
71.7,1.6363916944844772,70.0,75.0,55.5,6.240548408949685,50.0,72.0,592.5,87.68789350113656,349.0,660.0,33.9,2.766867462592951,29.0,38.0,stick
74.8,8.297255235585105,70.0,91.0,52.6,6.818276093624318,40.0,58.0,547.2,107.20572124036416,342.0,620.0,31.6,9.968840342676664,13.0,40.0,stick
84.6,9.406853293683753,71.0,91.0,45.1,8.22529972435993,39.0,57.0,415.8,116.35367539436723,339.0,600.0,20.0,11.604596790352806,12.0,40.0,stick
90.5,0.97182531580755,89.0,92.0,40.7,0.9486832980505137,39.0,42.0,338.4,7.456540752922899,325.0,348.0,12.6,0.699205898780101,12.0,14.0,stick
90.0,1.0540925533894598,89.0,92.0,41.6,0.6992058987801011,41.0,43.0,316.4,28.355677464036095,261.0,341.0,12.4,0.5163977794943223,12.0,13.0,stick
89.3,0.4830458915396479,89.0,90.0,42.0,0.6666666666666666,41.0,43.0,278.8,30.069549011878742,255.0,324.0,12.1,0.7378647873726218,11.0,13.0,stick
89.2,0.6324555320336759,88.0,90.0,42.0,0.6666666666666666,41.0,43.0,250.9,9.158481193832184,235.0,263.0,11.7,0.6749485577105528,11.0,13.0,stick
88.4,1.0749676997731399,87.0,90.0,42.3,0.9486832980505138,41.0,44.0,229.6,14.788884714917184,215.0,249.0,11.5,0.5270462766947299,11.0,12.0,stick
87.6,0.699205898780101,87.0,89.0,42.5,0.8498365855987975,41.0,44.0,206.9,16.010066277883496,176.0,219.0,11.6,0.5163977794943222,11.0,12.0,stick
88.2,0.9189365834726814,87.0,89.0,42.5,0.7071067811865476,41.0,43.0,183.6,19.766413713952034,167.0,219.0,12.0,0.4714045207910317,11.0,13.0,stick
88.5,0.97182531580755,87.0,90.0,42.6,0.5163977794943222,42.0,43.0,170.5,7.412451985979028,164.0,190.0,11.9,0.5676462121975466,11.0,13.0,stick
88.1,0.9944289260117531,87.0,90.0,42.4,0.5163977794943222,42.0,43.0,185.9,16.709611339319387,164.0,203.0,11.7,0.48304589153964794,11.0,12.0,stick
87.7,0.8232726023485645,86.0,89.0,42.5,0.5270462766947299,42.0,43.0,200.0,1.7638342073763937,198.0,203.0,11.8,0.4216370213557839,11.0,12.0,stick
87.4,0.8432740427115678,86.0,88.0,42.8,0.6324555320336759,42.0,44.0,199.8,1.7511900715418263,197.0,203.0,11.7,0.48304589153964794,11.0,12.0,stick
87.4,0.6992058987801011,86.0,88.0,43.2,0.6324555320336758,42.0,44.0,213.8,32.0929206454563,193.0,275.0,11.7,0.48304589153964794,11.0,12.0,stick
87.4,0.699205898780101,86.0,88.0,43.6,0.5163977794943222,43.0,44.0,253.2,39.168581513475544,193.0,282.0,11.9,0.3162277660168379,11.0,12.0,stick
87.9,0.8755950357709131,86.0,89.0,43.6,0.5163977794943222,43.0,44.0,277.2,4.7093288033198295,269.0,282.0,11.9,0.31622776601683794,11.0,12.0,stick
88.5,0.8498365855987975,87.0,90.0,43.1,0.5676462121975466,42.0,44.0,275.3,3.9171985454460234,269.0,281.0,11.9,0.3162277660168379,11.0,12.0,stick
88.6,1.1737877907772671,87.0,91.0,42.8,0.4216370213557839,42.0,43.0,270.2,6.562519841239846,260.0,278.0,12.0,0.0,12.0,12.0,stick
88.6,0.9660917830792958,88.0,91.0,43.1,0.5676462121975466,42.0,44.0,264.4,5.295700562196132,258.0,275.0,12.2,0.4216370213557839,12.0,13.0,stick
88.3,0.6749485577105528,87.0,89.0,43.7,0.6749485577105528,43.0,45.0,263.9,3.3482997343593826,258.0,268.0,12.0,0.6666666666666666,11.0,13.0,stick
