Sensor4_mean,Sensor4_std,Sensor4_min,Sensor4_max,Sensor5_mean,Sensor5_std,Sensor5_min,Sensor5_max,Sensor8_mean,Sensor8_std,Sensor8_min,Sensor8_max,Sensor9_mean,Sensor9_std,Sensor9_min,Sensor9_max,Label
26.9,0.5676462121975466,26.0,28.0,37.5,0.5270462766947299,37.0,38.0,164.9,1.911950719959998,162.0,168.0,76.7,1.3374935098492586,75.0,79.0,start2
27.2,0.7888106377466155,26.0,28.0,37.8,0.7888106377466155,37.0,39.0,163.4,1.646545204697129,161.0,166.0,77.5,0.7071067811865476,77.0,79.0,start2
27.0,0.816496580927726,26.0,28.0,38.1,0.7378647873726218,37.0,39.0,163.3,1.2516655570345725,161.0,165.0,77.9,0.9944289260117531,77.0,80.0,start2
26.7,0.8232726023485646,25.0,28.0,37.9,0.5676462121975466,37.0,39.0,164.3,1.4181364924121764,162.0,166.0,79.2,1.2292725943057181,77.0,81.0,start2
27.1,0.9944289260117531,25.0,28.0,37.8,0.6324555320336759,37.0,39.0,166.1,2.078995483935023,162.0,169.0,78.6,1.7126976771553504,76.0,81.0,start2
27.3,0.6749485577105528,26.0,28.0,37.5,0.7071067811865476,37.0,39.0,165.1,2.766867462592951,162.0,169.0,76.8,1.0327955589886444,75.0,79.0,start2
27.2,0.6324555320336759,26.0,28.0,37.1,0.5676462121975466,36.0,38.0,162.3,2.263232692902394,158.0,165.0,75.8,1.0327955589886444,74.0,77.0,start2
31.2,8.35064867739826,26.0,47.0,38.6,4.501851470969102,36.0,51.0,231.2,151.31042411031848,150.0,546.0,77.5,7.5901983578238,71.0,92.0,start2
37.5,8.07258735887489,27.0,47.0,30.9,11.209618885383907,19.0,51.0,424.1,187.68499022445977,150.0,589.0,88.0,11.372481406154654,71.0,99.0,start2
35.8,5.308274463305168,30.0,44.0,20.0,4.0276819911981905,17.0,31.0,531.7,55.69769594277068,452.0,603.0,95.6,2.170509412813294,92.0,99.0,start2
32.2,2.485513584307633,29.0,36.0,18.3,1.1595018087284057,17.0,20.0,516.9,50.956299359789114,452.0,603.0,96.1,1.8529256146249726,93.0,99.0,start2
27.2,5.996295152471695,21.0,36.0,16.2,2.250925735484551,13.0,19.0,529.8,42.81951787574343,472.0,620.0,98.6,1.8973665961010273,95.0,101.0,start2
22.1,1.286683937707919,21.0,25.0,13.9,0.8755950357709131,13.0,15.0,546.5,41.60729102773535,489.0,620.0,99.8,1.0327955589886444,98.0,101.0,start2
20.1,2.726414006223804,17.0,25.0,14.5,1.1785113019775793,13.0,16.0,566.6,34.10180835869754,494.0,612.0,99.1,1.728840330651992,95.0,101.0,start2
18.0,0.816496580927726,17.0,19.0,15.6,0.6992058987801011,15.0,17.0,534.3,60.020459474712084,439.0,612.0,99.1,1.728840330651992,95.0,101.0,start2
18.0,0.6666666666666666,17.0,19.0,15.5,0.8498365855987975,14.0,17.0,476.2,29.682767166601344,439.0,544.0,99.8,0.7888106377466153,98.0,101.0,start2
18.7,1.0593499054713802,17.0,20.0,15.1,0.5676462121975466,14.0,16.0,469.8,8.753412033157254,453.0,484.0,99.9,0.31622776601683794,99.0,100.0,start2
19.8,0.6324555320336759,19.0,21.0,15.0,0.0,15.0,15.0,474.4,9.09456492148531,463.0,493.0,99.9,0.5676462121975467,99.0,101.0,start2
20.2,0.6324555320336759,19.0,21.0,14.8,0.4216370213557839,14.0,15.0,484.5,12.756262078768303,466.0,499.0,99.8,0.6324555320336758,99.0,101.0,start2
20.6,0.5163977794943222,20.0,21.0,14.6,0.5163977794943222,14.0,15.0,507.8,20.054370540552444,491.0,555.0,99.4,0.5163977794943222,99.0,100.0,start2
20.4,0.5163977794943222,20.0,21.0,14.8,0.42163702135578396,14.0,15.0,510.7,21.018774676200536,482.0,555.0,99.2,0.9189365834726814,97.0,100.0,start2
20.3,0.48304589153964794,20.0,21.0,15.2,0.4216370213557839,15.0,16.0,489.0,16.6332999331662,469.0,522.0,99.8,1.1352924243950933,97.0,101.0,start2
20.3,0.674948557710553,19.0,21.0,15.6,0.5163977794943222,15.0,16.0,477.7,14.667045449654207,441.0,492.0,99.9,0.7378647873726218,99.0,101.0,start2
21.1,1.5951314818673865,19.0,24.0,15.7,1.0593499054713802,13.0,17.0,476.8,24.800537628581093,441.0,509.0,98.9,1.3703203194062976,96.0,100.0,start2
21.8,1.1352924243950933,20.0,24.0,15.4,1.3498971154211057,13.0,17.0,455.0,30.710114150082724,426.0,509.0,97.0,1.9436506316151,95.0,100.0,start2
20.5,1.0801234497346435,19.0,22.0,15.1,0.875595035770913,13.0,16.0,448.6,17.263963752407626,426.0,473.0,94.5,1.509230856356236,92.0,96.0,start2
19.9,0.7378647873726218,19.0,21.0,15.1,0.31622776601683794,15.0,16.0,471.0,12.192894105447921,451.0,492.0,94.7,1.766981104093143,92.0,97.0,start2
20.1,0.7378647873726218,19.0,21.0,15.4,0.5163977794943222,15.0,16.0,465.8,15.746604572273846,446.0,492.0,96.9,1.2866839377079187,95.0,99.0,start2
20.3,0.6749485577105528,19.0,21.0,15.3,0.6749485577105528,14.0,16.0,443.9,11.278790321267218,427.0,459.0,97.6,0.6992058987801011,97.0,99.0,start2
20.7,0.674948557710553,20.0,22.0,15.1,0.5676462121975466,14.0,16.0,433.3,6.000925854492047,426.0,444.0,96.7,0.8232726023485645,96.0,98.0,start2
20.5,0.7071067811865476,20.0,22.0,15.1,0.3162277660168379,15.0,16.0,434.7,6.783149055645992,426.0,449.0,96.2,0.4216370213557839,96.0,97.0,start2
20.1,0.5676462121975466,19.0,21.0,14.9,0.31622776601683794,14.0,15.0,443.6,17.626999492571365,414.0,471.0,97.0,0.816496580927726,96.0,98.0,start2
20.7,0.9486832980505138,19.0,22.0,15.6,3.3399933466334266,14.0,25.0,446.6,28.644177224854772,380.0,471.0,96.1,2.960855732160327,88.0,98.0,start2
22.0,1.0540925533894598,21.0,24.0,22.3,7.334090869963972,14.0,34.0,460.4,96.55533819180239,317.0,643.0,91.0,4.714045207910317,85.0,97.0,start2
25.0,3.7416573867739413,21.0,33.0,36.0,17.480147469502526,26.0,74.0,506.7,103.0318720914391,317.0,643.0,86.9,2.64365067451978,84.0,92.0,start2
33.0,8.576453553512405,24.0,50.0,73.8,42.98268385188518,26.0,146.0,539.2,69.46429938384816,394.0,629.0,88.9,3.7252889522529364,84.0,95.0,start2
32.1,9.65459015759401,21.0,50.0,72.3,41.51586042305598,37.0,146.0,529.8,70.60028328555062,394.0,629.0,92.7,2.359378449224852,90.0,97.0,start2
25.4,4.168666186896929,21.0,34.0,42.3,3.4657049948186756,37.0,47.0,509.5,42.5421359752109,432.0,559.0,96.3,2.869378562220979,92.0,100.0,start2
23.5,2.5055493963954847,21.0,27.0,39.9,4.508017549014447,34.0,47.0,504.7,23.570461740633483,462.0,553.0,99.0,1.0540925533894598,97.0,101.0,start2
22.2,0.7888106377466155,21.0,23.0,35.1,1.2866839377079187,34.0,37.0,479.7,35.69329224253643,405.0,513.0,98.9,0.8755950357709131,98.0,101.0,start2
22.2,0.7888106377466155,21.0,23.0,33.9,0.5676462121975466,33.0,35.0,435.4,29.59053902854762,390.0,479.0,98.8,0.6324555320336759,98.0,100.0,start2
21.4,0.6992058987801011,21.0,23.0,33.4,0.6992058987801011,32.0,34.0,419.5,15.349629021937668,390.0,440.0,99.0,0.4714045207910317,98.0,100.0,start2
20.6,0.5163977794943222,20.0,21.0,33.4,0.6992058987801011,32.0,34.0,427.7,21.92436493442348,406.0,477.0,97.7,1.4181364924121764,95.0,99.0,start2
19.8,0.6324555320336759,19.0,21.0,33.8,0.7888106377466155,33.0,35.0,424.2,22.957932543386104,408.0,477.0,95.9,1.1005049346146119,95.0,98.0,start2
19.6,0.5163977794943222,19.0,20.0,34.5,0.8498365855987975,33.0,35.0,445.2,35.51462922358741,408.0,494.0,95.5,0.5270462766947299,95.0,96.0,start2
19.7,0.4830458915396479,19.0,20.0,34.8,0.6324555320336759,34.0,36.0,467.4,17.360235533476434,448.0,494.0,96.7,1.0593499054713802,95.0,98.0,start2
19.3,0.674948557710553,18.0,20.0,34.8,0.7888106377466154,34.0,36.0,462.6,12.56273147934884,448.0,484.0,97.8,0.4216370213557839,97.0,98.0,start2
19.2,0.6324555320336758,18.0,20.0,35.5,0.8498365855987975,34.0,37.0,472.4,9.968840342676662,456.0,493.0,97.8,0.4216370213557839,97.0,98.0,start2
19.3,0.48304589153964794,19.0,20.0,36.3,0.6749485577105528,35.0,37.0,477.6,9.968840342676662,463.0,493.0,97.2,0.6324555320336759,96.0,98.0,start2
19.2,0.42163702135578396,19.0,20.0,36.4,0.5163977794943222,36.0,37.0,479.8,8.430104783848575,465.0,493.0,96.9,0.316227766016838,96.0,97.0,start2
19.5,0.5270462766947299,19.0,20.0,35.6,0.8432740427115678,34.0,37.0,475.8,7.685484153042453,468.0,488.0,96.6,1.2649110640673518,93.0,97.0,start2
19.8,0.4216370213557839,19.0,20.0,35.1,0.5676462121975466,34.0,36.0,467.9,3.4140233677518315,462.0,474.0,96.3,1.2516655570345725,93.0,97.0,start2
19.9,0.3162277660168379,19.0,20.0,35.2,0.4216370213557839,35.0,36.0,465.1,3.178049716414141,460.0,470.0,96.2,0.4216370213557839,96.0,97.0,start2
19.8,0.4216370213557839,19.0,20.0,35.1,0.31622776601683783,35.0,36.0,457.4,10.966616007988364,440.0,470.0,95.7,0.4830458915396479,95.0,96.0,start2
19.4,0.5163977794943222,19.0,20.0,35.4,0.5163977794943222,35.0,36.0,416.1,42.57659764080106,364.0,468.0,95.2,0.6324555320336759,94.0,96.0,start2
19.3,0.4830458915396479,19.0,20.0,35.7,0.4830458915396479,35.0,36.0,372.0,24.62158041682585,358.0,441.0,95.2,0.6324555320336758,94.0,96.0,start2
19.8,0.6324555320336759,19.0,21.0,35.8,0.6324555320336759,35.0,37.0,366.8,8.547904226573124,358.0,381.0,95.3,0.6749485577105528,94.0,96.0,start2
19.9,0.5676462121975466,19.0,21.0,36.2,0.6324555320336758,35.0,37.0,377.3,12.41012131734058,362.0,397.0,94.9,0.7378647873726218,94.0,96.0,start2
19.2,1.0327955589886444,18.0,21.0,33.0,4.853406592853679,24.0,37.0,442.4,95.56638181564338,368.0,606.0,97.4,3.5652645218989165,94.0,102.0,start2
18.4,1.07496769977314,17.0,21.0,31.8,4.638007234913623,24.0,37.0,574.6,115.4769818333218,383.0,742.0,100.5,2.1213203435596424,95.0,102.0,start2
17.8,0.6324555320336758,17.0,19.0,34.6,2.5033311140691445,28.0,37.0,550.5,116.76781329725338,395.0,742.0,101.0,0.816496580927726,99.0,102.0,start2
18.0,0.6666666666666666,17.0,19.0,34.2,1.2292725943057183,33.0,36.0,464.6,70.95883000413377,395.0,637.0,101.0,0.4714045207910317,100.0,102.0,start2
18.0,0.6666666666666666,17.0,19.0,33.4,0.699205898780101,33.0,35.0,560.8,112.55398704621707,401.0,698.0,100.5,0.7071067811865476,99.0,101.0,start2
17.0,0.9428090415820634,15.0,18.0,34.0,0.9428090415820634,33.0,35.0,680.8,44.74321798390852,605.0,734.0,100.6,0.8432740427115678,99.0,102.0,start2
17.0,0.9428090415820634,15.0,18.0,35.1,0.9944289260117533,33.0,36.0,694.7,25.530156460329202,667.0,734.0,100.0,1.1547005383792515,99.0,102.0,start2
18.2,1.0327955589886446,17.0,20.0,35.5,0.8498365855987975,34.0,37.0,678.5,12.285944995988077,666.0,697.0,98.7,0.48304589153964794,98.0,99.0,start2
18.6,0.9660917830792959,17.0,20.0,36.9,8.646772037394456,28.0,57.0,657.6,38.02396904877531,588.0,697.0,97.7,1.0593499054713802,96.0,99.0,start2
18.1,0.8755950357709132,17.0,19.0,43.0,9.741092797468305,28.0,57.0,634.4,45.61481240903125,538.0,690.0,97.2,1.0327955589886444,96.0,99.0,start2
18.4,0.8432740427115679,17.0,19.0,45.7,3.7133393177689658,39.0,51.0,616.6,87.19225245908544,494.0,730.0,98.5,1.5811388300841898,96.0,101.0,start2
18.5,0.97182531580755,16.0,19.0,44.2,4.756282395129858,39.0,54.0,533.4,101.05466067650936,461.0,730.0,99.6,0.8432740427115678,98.0,101.0,start2
18.2,0.9189365834726816,16.0,19.0,47.4,8.771164878927618,38.0,59.0,512.4,53.72398595289321,461.0,618.0,99.5,0.5270462766947299,99.0,100.0,start2
